time,open,high,low,close,Volume
2024-01-01T23:00:00Z,37704.8,37738.3,37697.3,37718.3,795
2024-01-02T00:00:00Z,37718.8,37726.3,37706.3,37712.3,397
2024-01-02T01:00:00Z,37713.3,37732.3,37694.3,37702.3,1017
2024-01-02T02:00:00Z,37702.8,37712.8,37700.3,37710.8,547
2024-01-02T03:00:00Z,37711.3,37719.8,37707.8,37717.3,386
2024-01-02T04:00:00Z,37716.8,37736.8,37714.3,37732.3,327
2024-01-02T05:00:00Z,37732.8,37752.3,37732.3,37738.8,560
2024-01-02T06:00:00Z,37739.3,37741.3,37723.8,37730.3,579
2024-01-02T07:00:00Z,37730.8,37758.3,37728.8,37744.3,1109
2024-01-02T08:00:00Z,37747.3,37813.3,37747.3,37809.3,2820
2024-01-02T09:00:00Z,37810.3,37810.3,37702.3,37710.8,2601
2024-01-02T10:00:00Z,37709.8,37714.8,37668.8,37684.8,2253
2024-01-02T11:00:00Z,37685.3,37686.3,37514.3,37550.8,3754
2024-01-02T12:00:00Z,37551.8,37551.8,37466.8,37474.8,2950
2024-01-02T13:00:00Z,37471.3,37518.3,37464.8,37481.8,3081
2024-01-02T14:00:00Z,37482.3,37660.45,37459.8,37659.45,7811
2024-01-02T15:00:00Z,37658.95,37719.68,37627.06,37695.84,9360
2024-01-02T16:00:00Z,37695.35,37749.62,37663.83,37742.25,7163
2024-01-02T17:00:00Z,37741.75,37791.52,37731.82,37763.44,6686
2024-01-02T18:00:00Z,37762.96,37763.96,37689.35,37701.55,6332
2024-01-02T19:00:00Z,37700.56,37707.1,37604.9,37605.15,6361
2024-01-02T20:00:00Z,37605.65,37726.58,37582.98,37718.95,7734
2024-01-02T21:00:00Z,37716.48,37731.52,37706.6,37725.63,1602
2024-01-02T23:00:00Z,37720.37,37732.73,37708.61,37728.53,571
2024-01-03T00:00:00Z,37730.51,37730.51,37708.02,37713.98,806
2024-01-03T01:00:00Z,37714.48,37718.44,37706.16,37709.8,1094
2024-01-03T02:00:00Z,37709.31,37713.77,37700.04,37704.64,759
2024-01-03T03:00:00Z,37704.14,37711.09,37695.02,37695.02,670
2024-01-03T04:00:00Z,37694.53,37701,37689.31,37691.83,469
2024-01-03T05:00:00Z,37692.33,37693.32,37679.1,37686.67,722
2024-01-03T06:00:00Z,37685.68,37698.77,37683.95,37691.87,681
2024-01-03T07:00:00Z,37691.38,37705.99,37678.62,37694.63,1265
2024-01-03T08:00:00Z,37694.14,37725.35,37687.35,37698.35,3391
2024-01-03T09:00:00Z,37697.86,37702.32,37655.01,37659.11,2845
2024-01-03T10:00:00Z,37658.61,37667.25,37631.07,37649,2626
2024-01-03T11:00:00Z,37649.99,37659.42,37603.78,37618.12,2305
2024-01-03T12:00:00Z,37619.11,37620.17,37580.28,37598.14,2643
2024-01-03T13:00:00Z,37597.64,37634.32,37581.6,37585.06,2673
2024-01-03T14:00:00Z,37584.57,37619.43,37510.38,37532.02,7296
2024-01-03T15:00:00Z,37527.07,37585.74,37404.21,37444.63,9585
2024-01-03T16:00:00Z,37443.15,37492.91,37437.06,37469.25,8170
2024-01-03T17:00:00Z,37470.23,37555.78,37442.05,37551.29,6102
2024-01-03T18:00:00Z,37550.81,37588.03,37535.57,37538.89,5817
2024-01-03T19:00:00Z,37538.87,37612.97,37464.79,37556.42,10192
2024-01-03T20:00:00Z,37555.43,37555.43,37396.76,37431.16,7965
2024-01-03T21:00:00Z,37433.46,37447.02,37412.22,37442.11,1627
2024-01-03T23:00:00Z,37464.11,37469.05,37436.14,37448.59,624
2024-01-04T00:00:00Z,37447.61,37466.67,37429.37,37464.22,1037
2024-01-04T01:00:00Z,37464.71,37471.38,37453.89,37465.47,1134
2024-01-04T02:00:00Z,37466.46,37469.43,37445.81,37464.79,887
2024-01-04T03:00:00Z,37465.28,37475.21,37452.66,37456.16,760
2024-01-04T04:00:00Z,37456.65,37468.65,37454.47,37454.96,535
2024-01-04T05:00:00Z,37455.46,37457.44,37435.37,37440.38,700
2024-01-04T06:00:00Z,37440.87,37473.8,37440.38,37472.3,874
2024-01-04T07:00:00Z,37472.8,37487.8,37462.3,37469.8,1298
2024-01-04T08:00:00Z,37469.3,37513.3,37464.8,37476.8,3291
2024-01-04T09:00:00Z,37477.8,37484.8,37449.8,37481.8,2712
2024-01-04T10:00:00Z,37483.3,37495.3,37450.8,37482.3,2099
2024-01-04T11:00:00Z,37482.8,37509.3,37451.3,37469.3,2138
2024-01-04T12:00:00Z,37470.8,37539.3,37461.3,37520.8,2746
2024-01-04T13:00:00Z,37520.3,37535.8,37494.8,37513.3,3379
2024-01-04T14:00:00Z,37512.8,37564.45,37454.95,37556.45,7136
2024-01-04T15:00:00Z,37551.45,37642.43,37547.95,37624.98,7870
2024-01-04T16:00:00Z,37627.47,37721.14,37619.24,37635.79,7285
2024-01-04T17:00:00Z,37636.28,37639.29,37506.02,37539.1,7179
2024-01-04T18:00:00Z,37538.61,37573,37530.75,37549.65,6005
2024-01-04T19:00:00Z,37549.67,37574.83,37507.62,37549.48,6621
2024-01-04T20:00:00Z,37549.98,37561.49,37436.06,37453.98,7524
2024-01-04T21:00:00Z,37457.29,37492.07,37440.97,37481.75,1387
2024-01-04T23:00:00Z,37501.79,37515.22,37494.65,37494.65,627
2024-01-05T00:00:00Z,37495.14,37506.21,37486.76,37495.4,983
2024-01-05T01:00:00Z,37496.39,37507.46,37486.15,37502.08,1140
2024-01-05T02:00:00Z,37501.59,37501.59,37479.56,37482.08,846
2024-01-05T03:00:00Z,37482.57,37491.1,37476.39,37477.39,607
2024-01-05T04:00:00Z,37476.9,37492.83,37469.22,37474.68,680
2024-01-05T05:00:00Z,37475.17,37477.17,37463.41,37465.54,881
2024-01-05T06:00:00Z,37468.51,37475.44,37415.04,37432.4,1230
2024-01-05T07:00:00Z,37431.91,37459.45,37411.7,37423.6,1511
2024-01-05T08:00:00Z,37423.1,37452.53,37414.71,37421.8,3162
2024-01-05T09:00:00Z,37421.3,37422.8,37360.8,37365.8,2583
2024-01-05T10:00:00Z,37366.3,37383.8,37343.8,37380.3,2296
2024-01-05T11:00:00Z,37381.3,37390.8,37327.8,37367.3,1950
2024-01-05T12:00:00Z,37367.8,37393.01,37344.46,37356.35,2170
2024-01-05T13:00:00Z,37356.84,37405.86,37247.75,37379.84,5878
2024-01-05T14:00:00Z,37382.31,37484.34,37372.42,37454.49,8489
2024-01-05T15:00:00Z,37473.78,37624.55,37470.84,37552.1,10754
2024-01-05T16:00:00Z,37551.62,37576.31,37443.18,37444.67,7605
2024-01-05T17:00:00Z,37445.17,37448.11,37332.72,37362.71,8248
2024-01-05T18:00:00Z,37361.23,37499.38,37316.98,37474.71,8142
2024-01-05T19:00:00Z,37474.22,37522.75,37375.96,37387.67,8116
2024-01-05T20:00:00Z,37385.69,37498.82,37371.57,37465.8,7730
2024-01-05T21:00:00Z,37468.8,37478.8,37442.3,37453.3,1272
2024-01-07T23:00:00Z,37419.8,37449.3,37407.8,37411.8,1089
2024-01-08T00:00:00Z,37410.8,37424.8,37398.3,37401.3,616
2024-01-08T01:00:00Z,37401.8,37405.3,37332.3,37336.3,935
2024-01-08T02:00:00Z,37335.8,37340.8,37311.8,37335.8,948
2024-01-08T03:00:00Z,37336.8,37336.8,37308.3,37314.8,720
2024-01-08T04:00:00Z,37314.3,37329.8,37309.8,37328.8,322
2024-01-08T05:00:00Z,37329.3,37334.8,37317.3,37323.8,609
2024-01-08T06:00:00Z,37324.8,37337.8,37310.8,37310.8,961
2024-01-08T07:00:00Z,37311.3,37338.3,37309.3,37310.8,1363
2024-01-08T08:00:00Z,37311.8,37369.8,37300.3,37334.3,3827
2024-01-08T09:00:00Z,37335.3,37335.3,37213.3,37287.8,3748
2024-01-08T10:00:00Z,37286.8,37297.8,37264.8,37269.8,2625
2024-01-08T11:00:00Z,37268.3,37316.8,37250.8,37303.8,2369
2024-01-08T12:00:00Z,37304.3,37322.3,37281.8,37321.3,2158
2024-01-08T13:00:00Z,37320.3,37357.8,37308.8,37318.3,2821
2024-01-08T14:00:00Z,37319.3,37360.95,37237.95,37299.45,7327
2024-01-08T15:00:00Z,37302.95,37429.28,37287.45,37376.03,6736
2024-01-08T16:00:00Z,37378.98,37410.9,37341.76,37404.26,6933
2024-01-08T17:00:00Z,37403.29,37466.36,37375.26,37453,5490
